name='Aarau', id=8502113, x='47.391355', y='8.051251'
name='Aarberg', id=8504404, x='47.044533', y='7.278682'
name='Aarburg', id=8502000, x='47.320268', y='7.908206'
name='Adliswil', id=8503096, x='47.312304', y='8.524165'
name='Affoltern am Albis', id=8502224, x='47.276068', y='8.446579'
name='Agno', id=8505395, x='45.995932', y='8.900911'
name='Aigle', id=8501400, x='46.316847', y='6.963682'
name='Allschwil', id=8587001, x='47.55112', y='7.536556'
name='Altdorf', id=8505113, x='46.875743', y='8.631568'
name='Altstätten', id=8506319, x='47.37423', y='9.556513'
name='Amriswil', id=8506109, x='47.550446', y='9.302217'
name='Appenzell', id=8506286, x='47.328287', y='9.408829'
name='Arbon', id=8506308, x='47.510588', y='9.433333'
name='Ascona', id=8505573, x='46.154565', y='8.767368'
name='Aubonne', id=8501870, x='46.494016', y='6.392822'
name='Avenches', id=8504126, x='46.884597', y='7.040917'
name='Baar', id=8502206, x='47.195363', y='8.523257'
name='Baden', id=8503504, x='47.47642', y='8.307695'
name='Basel', id=22, x='47.547408', y='7.589547'
name='Bellinzona', id=8505213, x='46.195439', y='9.029511'
name='Bern', id=8507000, x='46.948825', y='7.439122'
name='Beromünster', id=8502038, x='47.207867', y='8.189469'
name='Biasca', id=8505209, x='46.351986', y='8.974165'
name='Biel/Bienne', id=8504300, x='47.132888', y='7.242905'
name='Binningen', id=8500060, x='47.537322', y='7.575155'
name='Birsfelden', id=8589396, x='47.548351', y='7.630178'
name='Bischofszell', id=8506215, x='47.500421', y='9.234016'
name='Boudry', id=8504208, x='46.959441', y='6.835046'
name='Bourg-St-Pierre', id=8501880, x='45.952074', y='7.207937'
name='Bremgarten', id=8502273, x='47.351874', y='8.347473'
name='Brig', id=8501609, x='46.319418', y='7.988093'
name='Brugg', id=8500309, x='47.480851', y='8.208823'
name='Buchs', id=8509404, x='47.168404', y='9.47863'
name='Bulle', id=8504086, x='46.618193', y='7.055039'
name='Bülach', id=8503400, x='47.523946', y='8.536183'
name='Burgdorf', id=8508005, x='47.060696', y='7.621683'
name='Carouge', id=8592669, x='46.1868', y='6.140207'
name='Cham', id=8502203, x='47.178239', y='8.457483'
name='Châtel-St-Denis', id=8504062, x='46.526134', y='6.898744'
name='Chur', id=8509000, x='46.853081', y='9.528925'
name='Conthey', id=8570713, x='46.2326', y='7.303402'
name='Coppet', id=8501023, x='46.317378', y='6.187832'
name='Cossonay', id=8530003, x='46.612044', y='6.509898'
name='Croglio', id=8575686, x='45.988372', y='8.841466'
name='Delémont', id=8500109, x='47.361996', y='7.350056'
name='Diessenhofen', id=8503428, x='47.685473', y='8.752275'
name='Dietikon', id=8503508, x='47.405774', y='8.404968'
name='Dübendorf', id=8503128, x='47.400074', y='8.623405'
name='Ebikon', id=8502200, x='47.084256', y='8.342349'
name='Échallens', id=8501173, x='46.639497', y='6.632537'
name='Eglisau', id=8503402, x='47.572371', y='8.516533'
name='Einsiedeln', id=8503283, x='47.128582', y='8.744463'
name='Elgg', id=8506014, x='47.498524', y='8.86339'
name='Emmen', id=8590367, x='47.093605', y='8.313107'
name='Erlach', id=8504378, x='47.049279', y='7.097424'
name='Estavayer-le-Lac', id=8504132, x='46.844496', y='6.842957'
name='Frauenfeld', id=8506100, x='47.558159', y='8.896534'
name='Freienbach', id=124, x='47.20731', y='8.756194'
name='Fribourg', id=8504100, x='46.803272', y='7.151026'
name='Geneva', id=8501008, x='46.210199', y='6.142455'
name='Gland', id=8501031, x='46.419972', y='6.26914'
name='Glarus', id=8503230, x='47.039922', y='9.071554'
name='Gordola', id=8505402, x='46.179043', y='8.865764'
name='Gossau', id=8506210, x='47.411832', y='9.253028'
name='Grandcour', id=8504986, x='46.871823', y='6.928831'
name='Grandson', id=8504201, x='46.806274', y='6.641931'
name='Greifensee', id=8530648, x='47.364531', y='8.674923'
name='Grenchen', id=11, x='47.191803', y='7.389465'
name='Grüningen', id=8576037, x='47.276392', y='8.756635'
name='Gruyères', id=8504077, x='46.582604', y='7.073252'
name='Herisau', id=8506290, x='47.390168', y='9.276804'
name='Hermance', id=8501239, x='46.301629', y='6.241543'
name='Horgen', id=8503204, x='47.261479', y='8.596905'
name='Horw', id=8508319, x='47.017476', y='8.306967'
name='Cudrefin', id=8504561, x='46.959216', y='7.014166'
name='Cully', id=8501124, x='46.48855', y='6.727149'
name='Davos', id=8509073, x='46.791469', y='9.820724'
name='Huttwil', id=8508187, x='47.114595', y='7.842719'
name='Ilanz', id=8509171, x='46.77536', y='9.207435'
name='Illnau', id=8503303, x='47.408821', y='8.7227'
name='Ittigen', id=8507069, x='46.973312', y='7.484131'
name='Kaiserstuhl', id=8508311, x='46.814364', y='8.175509'
name='Klingnau', id=8516176, x='47.582088', y='8.248816'
name='Kloten', id=8503308, x='47.448607', y='8.58379'
name='Köniz', id=8507083, x='46.924878', y='7.415156'
name='Kreuzlingen', id=8506131, x='47.652554', y='9.169069'
name='Kriens', id=8508453, x='47.03042', y='8.277878'
name='Küsnacht', id=8503101, x='47.319154', y='8.580617'
name='Küssnacht', id=8505002, x='47.083591', y='8.43349'
name='La Chaux-de-Fonds', id=8503220, x='47.190068', y='8.852693'
name='Le Landeron', id=8504316, x='47.057855', y='6.746152'
name='Les Clées', id=8504071, x='46.507383', y='7.052549'
name='Lancy', id=8516155, x='46.188895', y='6.12533'
name='Langenthal', id=8508100, x='47.217297', y='7.784712'
name='Laufen', id=8500113, x='47.419338', y='7.50263'
name='Laufenburg', id=8500322, x='47.559768', y='8.061274'
name='Laupen', id=8504194, x='46.902602', y='7.238015'
name='Lausanne', id=8501120, x='46.516776', y='6.629095'
name='Lenzburg', id=8502119, x='47.391193', y='8.170376'
